127.0.0.1 - - [16/Jun/2015:06:45:45 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Jun/2015:06:45:47 +0530] "GET /Arbutus/ HTTP/1.1" 200 5267
0:0:0:0:0:0:0:1 - - [16/Jun/2015:06:45:48 +0530] "GET /Arbutus/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2015:06:45:48 +0530] "GET /Arbutus/jquery-ui.structure.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2015:06:45:48 +0530] "GET /Arbutus/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2015:06:45:48 +0530] "GET /Arbutus/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2015:06:45:48 +0530] "GET /Arbutus/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2015:06:45:48 +0530] "GET /Arbutus/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2015:06:45:48 +0530] "GET /Arbutus/arbutusScripts.js HTTP/1.1" 200 6570
0:0:0:0:0:0:0:1 - - [16/Jun/2015:06:45:48 +0530] "GET /Arbutus/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2015:06:45:51 +0530] "POST /Arbutus/Controller?argument=getMake HTTP/1.1" 200 265
